female,race3,ageyr,educ,hhinc,voteplan,votechoice,FT_obama,FT_mccain,FT_biden,FT_palin,FT_Dparty,FT_Rparty,economy,environ,iraqwar,hopeBP,readyBP
1,0,79,4,8,2,2,40,85,60,70,40,60,NA,NA,1,NA,1
0,0,33,6,19,1,1,85,60,70,10,85,65,4,3,4,1,1
1,0,61,4,17,2,2,30,70,50,100,60,70,4,NA,2,0,1
0,2,25,5,12,0,0,40,60,50,60,40,60,4,2,1,1,1
0,0,53,5,25,1,1,85,85,100,100,70,70,4,4,4,1,1
1,0,28,6,14,1,1,85,15,70,30,85,0,4,4,4,1,1
1,0,28,6,18,1,1,85,30,85,0,70,30,4,4,4,1,1
0,0,90,2,17,2,2,50,70,50,85,0,70,2,1,1,1,0
0,0,40,6,25,1,1,85,30,85,0,70,15,4,4,4,1,1
1,0,66,6,25,1,1,85,15,85,0,85,15,4,4,4,1,1
1,0,41,7,25,1,NA,100,0,100,0,85,0,4,4,4,1,1
1,0,47,6,17,1,1,80,0,85,0,60,0,4,4,4,1,1
0,2,36,5,19,1,0,60,40,50,50,70,40,4,3,4,1,1
0,1,NA,4,1,NA,1,100,0,85,0,95,0,4,4,4,1,1
1,1,51,5,5,1,0,70,0,NA,0,85,0,4,4,4,1,1
0,1,36,3,7,1,1,100,60,NA,NA,70,15,4,3,4,1,1
0,0,59,7,17,1,1,100,30,90,15,85,10,4,4,4,1,1
0,0,33,6,19,1,1,100,30,100,0,85,30,4,4,4,1,1
0,0,36,7,6,0,1,70,85,85,70,40,40,3,4,2,1,1
1,2,30,6,11,1,1,70,15,30,0,85,0,4,1,4,1,1
0,1,23,6,12,1,1,100,40,70,40,70,0,4,4,4,1,1
1,0,35,4,18,3,2,70,60,30,40,60,30,3,4,4,1,1
0,0,29,6,18,2,0,50,70,50,60,50,60,2,2,3,0,1
1,1,75,3,7,1,1,100,15,100,30,100,40,4,4,4,1,1
0,2,62,3,NA,1,NA,70,50,NA,70,100,20,4,4,4,1,1
1,0,36,6,20,2,2,40,70,50,70,50,70,3,2,2,1,1
1,0,25,3,16,2,0,0,60,60,60,60,60,2,4,1,0,0
1,0,51,3,14,2,2,0,100,0,70,70,50,3,3,3,1,1
0,0,38,6,18,2,2,50,85,60,85,40,70,4,3,1,1,0
1,0,53,4,11,1,1,60,40,40,50,70,40,4,4,4,1,1
1,0,27,4,17,2,0,50,70,NA,NA,60,60,4,4,4,0,0
1,0,53,6,18,2,NA,40,100,30,70,40,85,4,1,1,1,1
1,1,33,4,11,1,1,60,40,30,40,85,30,4,4,4,1,1
0,0,25,6,14,2,2,50,100,40,85,30,100,2,1,1,1,1
0,0,51,3,12,1,0,85,60,NA,NA,70,70,4,4,4,1,0
1,0,46,5,12,1,1,60,50,NA,0,85,30,4,3,4,1,0
0,0,24,5,2,1,0,60,30,50,15,50,50,3,4,4,1,0
0,0,26,4,3,1,NA,85,30,50,50,100,40,2,NA,4,1,1
1,0,28,4,19,1,1,60,40,50,40,70,40,2,1,4,1,1
0,2,45,4,19,2,2,60,85,70,100,0,70,2,2,1,1,1
1,1,62,4,5,1,NA,90,NA,NA,NA,60,40,4,2,4,1,1
0,0,55,6,4,1,1,85,60,60,50,70,30,NA,4,2,1,NA
1,1,29,3,12,1,NA,85,NA,NA,NA,60,NA,NA,NA,NA,1,1
1,0,23,3,10,2,0,50,50,NA,NA,0,100,1,NA,NA,1,0
0,2,59,3,10,1,1,85,40,70,15,85,15,4,4,2,1,1
1,1,19,4,8,1,0,60,0,NA,15,85,0,4,NA,4,1,1
0,0,61,NA,5,1,1,85,40,85,40,100,50,1,4,4,1,1
0,2,28,4,4,1,1,70,15,50,30,50,15,4,4,4,1,0
1,2,59,4,17,1,1,70,0,50,15,85,30,4,4,4,1,0
0,2,26,3,6,1,1,85,50,NA,50,0,0,4,4,4,1,0
0,0,60,3,19,2,2,0,85,15,85,70,85,4,4,4,0,0
1,2,38,6,18,1,1,60,40,NA,NA,60,40,4,4,4,1,0
1,2,29,6,14,3,0,50,40,50,50,60,40,3,3,4,1,1
0,2,59,3,4,1,0,85,70,60,50,85,60,4,4,4,1,1
1,2,30,3,11,1,1,85,70,60,NA,100,85,4,4,4,1,0
1,2,19,2,20,1,1,85,0,NA,50,50,30,4,4,4,1,1
1,0,55,6,17,1,1,85,30,70,15,70,0,4,4,4,1,0
1,2,36,4,17,1,1,70,40,50,40,85,40,1,4,4,1,1
1,1,69,4,NA,1,1,100,30,70,30,70,30,4,NA,4,1,1
0,2,35,4,18,1,1,70,60,85,60,70,70,2,1,4,NA,0
0,2,73,3,10,NA,0,60,60,NA,85,70,60,4,3,4,0,0
1,1,63,2,18,1,1,85,0,85,50,100,0,4,4,4,1,1
0,2,35,7,17,2,2,60,70,60,60,40,30,3,4,2,1,0
1,2,20,3,18,1,1,50,50,30,30,70,50,4,2,4,1,0
0,0,60,4,NA,1,1,60,0,0,0,NA,0,4,4,4,NA,NA
0,0,32,5,20,2,0,50,70,60,50,15,85,4,4,1,1,0
1,0,63,2,19,1,1,60,50,60,30,40,50,4,NA,1,1,1
1,0,65,3,12,1,1,60,50,60,60,50,0,4,4,4,1,1
0,0,26,3,3,1,0,70,30,15,30,30,60,4,3,4,0,1
1,0,75,3,10,NA,2,40,85,NA,100,50,60,NA,NA,1,NA,1
0,0,26,2,1,2,0,50,50,NA,NA,50,50,4,NA,4,1,0
1,0,58,7,18,1,1,100,30,85,0,60,0,4,4,4,1,1
1,0,50,5,14,1,1,85,30,85,0,60,40,4,4,4,1,1
1,0,36,4,15,0,2,15,15,30,50,30,60,4,NA,3,0,0
0,0,54,4,18,1,1,70,50,60,40,60,40,4,3,4,1,1
0,0,18,3,17,1,1,50,50,50,40,50,50,NA,NA,4,1,1
0,2,57,4,8,1,NA,70,40,60,15,70,50,4,NA,4,0,1
0,0,53,6,14,2,2,50,50,50,50,30,50,4,4,4,1,0
1,2,36,4,25,1,1,85,70,60,15,70,50,4,4,4,1,NA
0,0,76,6,21,2,2,15,60,60,85,0,30,4,4,1,0,0
0,0,48,2,11,1,NA,85,50,85,50,85,0,3,4,4,0,0
1,0,53,4,25,2,2,0,70,30,100,15,70,1,2,1,1,1
1,0,78,2,8,1,NA,85,60,85,40,60,40,4,4,4,1,1
1,0,39,3,7,1,NA,85,50,NA,50,70,40,4,2,4,1,1
1,0,59,3,19,2,2,30,60,50,85,30,50,4,4,1,0,1
0,0,32,3,20,2,2,30,60,50,50,40,70,3,2,3,1,0
1,0,64,6,25,1,1,100,40,85,0,60,15,4,4,4,1,1
1,0,66,6,18,2,2,0,60,15,85,15,50,NA,NA,1,1,1
0,0,57,4,20,NA,0,0,0,0,0,0,0,4,4,4,0,1
1,0,66,3,NA,1,0,50,40,50,30,60,40,4,4,4,0,NA
0,0,60,4,19,1,1,100,40,100,15,70,30,4,4,4,1,1
0,0,46,4,15,1,1,85,30,85,40,60,15,4,4,4,1,1
0,0,57,6,25,2,2,15,70,15,85,30,60,3,2,1,1,1
0,0,42,4,24,2,2,60,85,50,10,15,85,2,1,1,NA,1
1,0,59,7,23,1,NA,100,30,70,15,15,0,2,4,4,1,1
1,0,64,4,9,1,0,85,60,70,40,100,60,3,1,3,1,1
1,0,65,5,17,1,1,85,15,70,0,100,0,4,4,4,NA,1
0,0,46,4,18,1,1,60,30,50,70,70,15,4,1,1,1,1
1,0,NA,6,19,1,1,85,15,70,15,85,30,4,3,4,1,1
1,0,56,6,15,0,NA,50,70,50,50,50,50,4,NA,1,0,1
1,0,26,4,13,1,1,70,50,40,0,50,50,4,4,3,1,1
0,0,35,3,19,1,0,60,50,NA,50,NA,NA,2,NA,NA,1,1
0,2,34,6,24,1,1,70,50,50,50,50,50,4,3,4,1,1
1,1,20,4,3,1,0,60,50,NA,40,50,60,4,NA,4,1,1
0,0,86,3,6,1,1,50,40,NA,NA,70,0,4,3,4,1,1
0,2,36,6,21,2,2,50,70,60,85,40,70,NA,2,1,1,0
0,0,27,4,NA,1,1,100,50,50,100,50,50,4,4,1,1,1
1,0,NA,4,4,0,0,NA,70,NA,NA,70,70,4,3,4,NA,0
1,2,46,1,12,1,1,85,40,NA,50,85,40,4,4,4,1,1
1,2,63,3,25,3,0,70,70,NA,60,70,70,3,3,4,1,1
1,2,58,1,9,1,1,50,70,50,70,70,70,4,4,4,1,1
0,2,50,1,15,1,0,100,60,100,70,85,50,4,4,4,1,1
0,2,47,2,14,1,1,85,60,85,NA,100,30,2,2,3,1,1
1,2,65,4,14,1,1,100,40,60,30,100,40,4,4,4,1,1
0,0,77,6,16,2,2,0,100,0,100,0,100,3,1,1,NA,0
1,2,53,7,25,1,1,85,40,70,30,70,50,4,3,4,1,1
1,0,61,6,NA,1,1,85,40,70,40,70,40,4,4,4,1,1
0,0,51,6,NA,1,1,70,60,85,40,70,60,4,NA,4,0,0
1,0,40,6,19,1,1,85,40,50,70,85,30,4,NA,4,1,0
1,0,59,6,NA,3,2,50,40,60,50,30,30,4,4,4,0,1
0,0,76,7,8,2,2,30,100,40,100,15,85,4,1,1,1,0
0,0,85,3,9,1,1,70,50,60,30,100,40,4,4,4,NA,1
1,0,65,6,NA,2,2,30,70,50,100,40,60,NA,2,1,NA,NA
0,2,27,2,22,1,1,90,35,75,15,60,15,4,4,4,NA,1
0,2,21,2,16,1,0,60,50,NA,NA,50,50,4,3,4,0,0
1,2,20,4,8,1,1,70,50,50,40,60,50,4,4,3,1,1
1,0,71,4,6,3,0,70,60,NA,60,30,30,NA,NA,4,NA,1
0,0,45,2,25,3,0,40,40,NA,60,60,60,4,4,4,0,0
1,0,40,6,24,1,1,70,15,70,15,60,30,4,4,4,1,1
1,0,46,6,21,2,2,30,60,50,60,40,60,3,2,3,0,1
0,2,33,4,22,2,0,60,70,50,NA,60,50,4,1,1,0,0
1,0,36,3,18,2,NA,40,70,NA,NA,60,60,4,3,4,1,0
1,0,62,6,17,2,2,40,85,40,100,40,85,2,2,1,0,1
0,2,32,6,20,1,1,85,15,85,0,85,40,4,2,4,1,1
0,0,72,5,14,1,1,65,50,NA,50,40,85,3,3,3,NA,1
0,0,34,4,25,2,0,60,50,50,50,50,60,2,2,3,1,0
0,0,47,7,24,2,2,40,60,50,70,50,60,3,2,4,1,1
0,2,56,6,15,1,1,50,30,50,60,85,30,4,4,4,0,0
0,0,62,6,25,2,2,40,85,40,100,30,85,3,2,2,1,1
1,0,53,3,16,2,2,0,100,NA,100,15,85,2,1,2,0,0
0,0,55,5,16,1,1,85,NA,0,15,70,15,4,4,4,1,1
0,0,20,3,20,1,0,85,60,40,60,50,50,4,3,3,1,1
0,2,46,4,25,2,2,15,60,50,60,30,60,2,2,1,NA,1
1,0,47,3,18,2,1,60,50,50,30,40,30,4,2,4,1,1
1,0,65,6,19,2,2,15,60,50,60,30,60,4,2,2,1,0
0,0,41,6,25,2,2,15,85,15,70,0,70,1,NA,1,0,1
1,2,NA,1,NA,0,1,60,60,NA,50,60,50,3,NA,NA,0,NA
0,0,70,5,25,2,NA,40,60,40,70,60,60,3,3,4,0,0
1,0,73,4,NA,2,2,60,60,NA,60,50,60,4,4,4,1,0
0,0,69,6,18,2,2,30,70,60,85,40,70,2,NA,1,NA,1
1,0,45,3,25,2,2,30,100,15,85,0,100,1,1,1,0,0
1,0,78,5,17,2,2,30,70,NA,70,40,60,1,3,4,0,1
1,1,24,3,20,1,NA,100,0,100,0,100,0,4,4,4,1,1
1,2,18,3,17,1,1,50,40,NA,NA,50,50,4,4,4,1,1
0,2,43,7,18,1,0,85,0,NA,NA,100,30,4,NA,4,1,0
0,2,51,1,13,1,1,85,50,70,30,70,60,4,4,4,1,0
1,2,NA,4,13,1,1,100,30,NA,40,100,30,4,3,4,1,1
1,2,26,2,4,2,NA,30,100,NA,70,100,100,3,3,1,1,0
0,1,32,4,NA,1,1,100,40,85,0,70,50,4,4,4,1,1
1,1,48,4,14,1,1,100,0,NA,50,100,0,4,4,4,1,0
0,2,18,3,NA,1,0,70,70,NA,50,60,70,4,4,4,1,1
1,1,42,5,22,1,1,85,50,70,50,85,40,4,4,4,1,1
1,0,43,3,20,1,1,70,40,50,30,100,15,4,3,3,1,0
1,2,46,4,17,2,2,50,70,NA,70,50,50,1,NA,2,NA,0
0,2,18,3,NA,1,NA,100,15,15,50,50,NA,4,NA,4,1,1
0,2,36,4,19,1,1,85,50,85,40,85,30,4,3,4,1,1
1,0,44,3,13,3,0,50,50,NA,50,50,50,4,4,4,1,1
0,0,59,4,13,1,NA,70,60,70,70,70,60,3,1,1,1,1
1,2,18,3,NA,1,0,70,40,50,50,85,40,4,3,3,1,0
1,2,45,3,19,1,1,100,40,50,50,85,40,4,4,4,1,0
1,2,NA,4,18,1,1,70,20,80,40,100,0,4,NA,3,NA,1
1,2,32,3,12,1,0,70,50,50,50,50,40,4,4,4,1,1
0,1,57,4,17,1,1,70,40,70,0,70,40,4,4,4,1,1
0,0,44,3,16,1,0,85,50,85,40,70,30,4,4,4,1,1
0,1,73,1,2,1,1,50,15,60,0,15,0,4,4,4,1,0
0,1,61,5,6,3,NA,70,15,50,40,40,40,NA,3,4,1,1
0,0,50,6,18,2,2,60,70,40,60,50,50,3,2,4,1,1
0,0,76,4,18,2,2,15,60,20,85,30,60,4,1,4,1,1
1,0,42,5,22,1,1,60,50,50,50,50,50,3,4,4,1,1
1,0,66,5,20,2,2,0,85,50,85,15,70,2,2,1,1,1
1,0,64,4,14,1,1,85,50,85,30,85,40,4,1,4,1,1
1,0,20,4,18,1,1,70,50,NA,70,70,60,4,4,1,1,1
0,2,45,3,17,2,2,40,85,40,100,50,85,2,1,1,0,1
0,0,69,7,14,2,2,40,85,30,85,15,60,2,1,1,0,0
0,2,74,4,25,0,NA,50,50,30,50,50,50,4,4,4,NA,1
0,0,55,4,18,2,0,85,85,0,60,60,70,3,NA,4,1,0
0,0,27,6,18,2,2,70,60,NA,60,50,60,2,1,3,1,1
1,0,49,4,18,2,2,15,60,50,100,50,60,3,2,4,0,1
0,0,47,6,21,1,1,85,70,70,65,30,29,4,4,4,1,1
0,0,90,1,19,2,2,40,60,NA,70,100,100,NA,NA,4,0,0
0,0,43,3,24,2,2,40,70,60,70,30,100,2,1,1,0,0
1,0,83,3,17,1,NA,100,15,60,15,100,30,4,4,4,1,1
1,2,34,4,NA,1,0,100,15,70,50,70,40,3,3,4,1,0
0,0,54,4,15,2,0,30,60,30,85,40,70,2,NA,2,NA,NA
0,2,48,4,15,1,1,100,0,50,40,70,0,4,4,4,1,1
1,0,75,3,13,2,2,50,85,50,85,50,85,2,2,1,NA,NA
1,0,34,5,18,0,2,100,100,NA,100,70,70,1,2,1,0,1
1,0,27,7,25,1,1,85,30,85,15,70,15,3,4,4,1,0
0,1,55,3,12,1,1,100,0,100,60,100,0,4,1,4,1,1
1,2,31,4,13,1,1,85,50,NA,NA,100,50,3,NA,4,0,NA
0,2,50,3,23,1,0,70,60,NA,NA,50,50,3,3,3,0,1
1,0,33,4,19,2,2,50,85,NA,95,45,45,4,2,1,NA,0
0,2,43,3,18,1,1,85,15,40,NA,60,40,4,3,4,1,0
1,0,40,3,11,1,1,NA,NA,NA,15,NA,NA,NA,NA,4,0,NA
0,0,57,4,23,2,2,0,70,NA,70,0,0,4,4,4,0,1
0,0,54,3,NA,2,0,70,70,NA,NA,70,70,4,4,4,1,0
1,2,42,3,16,2,0,50,70,NA,50,60,60,4,4,4,0,0
1,0,57,2,2,1,0,70,40,NA,NA,50,50,3,3,4,1,1
0,NA,20,3,17,2,NA,50,90,NA,NA,70,95,3,2,4,0,0
1,1,68,3,20,1,1,70,50,60,40,70,50,4,NA,NA,1,1
0,0,30,3,13,1,1,70,40,60,30,60,40,4,4,4,1,1
1,0,53,6,22,1,1,60,30,60,0,60,40,4,4,4,0,1
0,0,NA,NA,NA,0,1,85,50,50,0,50,50,3,1,NA,NA,1
1,0,29,6,17,1,1,100,30,85,30,100,15,4,4,4,1,1
1,0,39,5,1,1,1,85,15,85,0,70,15,4,4,4,1,1
0,1,54,3,18,1,1,85,30,70,0,70,0,4,4,4,1,1
0,0,23,6,18,1,1,70,15,65,1,60,10,4,4,4,1,1
0,1,35,3,16,1,0,50,15,50,NA,50,40,4,3,4,1,1
0,0,51,5,25,1,1,100,0,85,0,85,15,4,4,4,1,1
0,1,20,3,2,1,1,85,60,60,50,100,50,4,4,2,1,1
1,0,54,7,13,1,1,100,0,100,0,85,0,4,4,4,1,1
0,0,35,6,25,1,1,100,40,85,0,85,15,4,4,4,1,1
0,0,80,6,9,1,1,75,50,90,0,50,50,4,4,4,1,1
1,0,31,6,21,1,1,95,5,50,20,90,15,4,4,4,1,1
1,0,35,7,19,1,NA,100,15,70,15,70,15,4,4,4,1,1
0,2,37,6,17,1,0,100,0,85,0,85,0,4,4,4,1,1
0,0,49,7,20,1,1,60,60,85,15,70,15,4,3,NA,1,1
1,0,38,6,14,1,1,85,30,70,30,85,15,4,4,4,1,1
0,0,32,6,13,1,1,70,0,55,0,55,0,4,4,4,1,1
1,0,21,4,25,1,NA,85,15,60,0,60,15,4,2,4,1,0
0,2,60,6,13,2,0,50,70,70,15,50,0,4,4,4,0,0
1,2,30,4,17,1,1,100,0,70,0,85,0,4,NA,4,1,1
1,0,31,3,16,1,1,85,40,70,15,50,30,4,4,3,1,0
1,0,24,6,9,1,1,85,30,85,15,70,30,4,4,4,1,1
1,0,29,6,19,1,NA,65,40,50,35,45,30,4,3,4,1,1
1,1,47,4,18,1,1,85,15,70,30,100,30,4,2,4,1,NA
1,1,24,4,15,1,NA,60,50,NA,NA,50,50,4,2,4,0,0
1,0,23,4,9,2,2,15,40,NA,NA,50,60,3,2,4,1,1
0,1,42,3,19,1,1,60,60,60,70,60,30,4,4,4,1,0
0,2,46,3,NA,1,0,60,50,40,NA,70,15,4,4,4,1,0
1,2,23,7,7,0,2,40,40,30,40,5,50,4,4,4,1,1
1,NA,NA,7,1,3,0,70,15,50,0,40,60,4,1,4,1,1
1,1,23,4,8,1,0,85,50,70,50,85,30,4,NA,4,1,0
1,2,19,3,3,1,1,70,40,NA,NA,100,40,4,2,4,1,1
1,2,48,4,8,1,0,85,70,85,70,100,85,4,4,1,1,1
1,1,46,5,7,1,1,100,0,100,15,100,0,4,4,4,1,1
1,0,26,4,11,0,0,70,70,NA,50,70,70,4,4,4,1,0
1,2,40,3,NA,1,0,70,60,NA,NA,70,70,2,1,4,1,0
0,0,21,3,13,1,1,70,60,NA,40,60,50,4,2,NA,NA,1
1,0,31,6,17,2,2,60,60,70,70,60,60,3,3,3,1,1
1,2,26,4,21,1,1,100,0,70,0,70,0,4,4,4,1,0
1,2,59,6,16,2,NA,0,85,60,85,30,70,2,3,1,NA,NA
1,1,26,6,22,1,0,100,30,100,15,70,30,4,4,4,1,0
0,0,65,3,25,0,NA,60,60,70,60,50,50,3,4,4,1,1
1,0,25,5,18,2,2,30,60,40,70,30,60,2,1,1,NA,0
1,0,34,3,16,2,2,30,70,NA,60,50,50,4,2,3,NA,0
0,0,59,7,18,2,2,60,70,70,85,60,85,4,2,2,0,1
1,0,41,3,14,0,2,60,70,50,70,40,40,3,NA,4,0,NA
0,2,40,3,13,1,NA,50,50,NA,50,50,50,4,2,4,1,0
0,0,44,3,12,1,0,60,50,NA,70,50,50,4,3,4,1,0
1,1,44,3,16,1,1,60,60,NA,50,100,50,4,4,4,1,NA
1,0,33,3,19,2,NA,50,50,NA,NA,50,50,2,4,4,1,0
1,1,18,2,NA,1,1,50,50,NA,60,70,50,4,4,4,1,1
1,0,45,6,21,1,1,75,75,25,40,50,50,4,4,4,NA,1
0,0,45,5,15,1,1,85,85,85,65,60,40,4,4,1,NA,1
1,1,44,3,1,1,1,100,60,30,50,70,70,3,3,1,1,1
1,0,23,4,19,1,1,98,15,90,0,88,30,4,4,4,1,1
1,2,33,7,19,1,1,85,30,60,30,70,15,4,4,4,1,0
0,0,87,2,8,0,1,0,60,50,60,100,100,4,2,4,NA,NA
0,0,32,7,18,1,1,85,40,60,0,70,15,4,4,4,1,1
0,2,59,6,NA,1,1,8,15,50,15,85,0,4,4,4,0,1
0,0,37,4,19,1,NA,50,50,NA,50,50,10,NA,NA,4,NA,1
0,0,55,5,20,2,2,5,80,40,75,10,10,4,3,3,NA,1
0,0,38,3,25,2,2,30,60,NA,40,15,60,3,3,4,1,1
0,0,62,7,NA,NA,NA,40,70,NA,70,50,60,4,NA,2,NA,1
1,0,37,6,23,2,2,60,85,50,40,40,85,2,1,4,1,0
0,0,57,6,22,1,1,85,60,50,30,70,30,4,4,4,1,NA
1,0,60,6,22,2,2,40,85,40,100,40,85,4,2,1,NA,1
0,0,45,4,19,2,1,50,70,NA,50,50,40,4,2,2,1,0
1,0,34,4,25,3,1,50,30,0,0,30,15,4,2,4,1,1
0,0,46,6,25,2,2,30,60,30,100,40,60,2,2,2,NA,1
1,0,52,6,10,2,NA,60,85,NA,85,50,70,NA,NA,1,1,1
0,2,31,6,24,1,1,85,60,70,40,75,55,1,4,4,1,1
0,0,80,6,18,NA,NA,85,40,85,50,70,30,4,NA,3,NA,1
1,0,67,4,14,2,2,60,85,15,85,50,70,2,1,1,0,1
0,0,71,4,16,2,2,15,70,50,100,30,70,4,1,1,1,1
1,0,58,3,20,1,1,85,15,100,30,85,0,4,4,4,1,1
0,0,57,3,13,2,2,0,85,50,85,30,85,NA,NA,1,NA,1
1,0,29,3,7,1,1,100,15,60,0,30,0,4,4,4,1,1
0,0,18,3,3,1,1,70,40,NA,30,70,0,4,4,4,1,1
1,0,NA,NA,NA,1,1,100,49,85,49,95,25,4,4,4,1,0
1,0,56,6,19,1,1,85,15,50,15,100,15,4,4,4,1,1
1,NA,32,5,20,1,1,70,30,60,30,85,30,4,3,4,1,1
1,0,55,3,17,1,1,85,85,70,60,60,70,4,2,2,1,1
1,0,30,6,18,1,1,85,15,70,0,70,30,3,3,4,1,1
1,0,65,3,15,1,1,85,50,NA,50,NA,NA,4,4,4,1,0
0,0,35,6,17,1,1,100,40,100,15,70,40,4,4,4,1,1
0,0,NA,2,NA,3,0,40,30,NA,NA,40,30,NA,NA,4,NA,NA
0,0,38,4,19,2,2,70,85,50,60,60,85,2,1,4,0,1
0,0,67,7,19,1,1,100,15,100,0,85,15,4,4,4,1,1
1,0,33,4,16,2,2,50,50,50,50,30,20,4,4,4,0,0
1,0,42,6,21,2,2,40,85,30,70,50,50,2,2,2,1,0
1,NA,41,4,18,1,1,70,40,60,60,60,40,4,3,4,0,1
0,0,34,5,18,1,1,75,35,NA,10,75,25,4,4,4,0,1
0,0,56,5,21,2,2,50,70,50,70,60,70,2,2,2,0,0
1,0,34,5,20,2,2,30,60,0,85,15,70,1,1,1,1,1
0,0,23,3,17,1,1,70,40,85,60,85,30,4,3,4,1,1
1,0,50,4,11,0,2,85,85,70,85,85,85,1,2,1,1,1
0,0,31,3,14,1,1,70,15,70,50,85,30,4,2,4,1,1
0,0,20,4,5,2,2,40,85,60,85,30,85,1,2,1,0,0
0,0,67,3,17,2,2,40,85,NA,85,50,60,3,2,2,0,1
1,0,35,6,20,1,NA,85,50,70,30,85,40,3,1,3,0,1
1,0,28,5,16,1,0,85,0,60,0,60,15,4,4,4,1,1
1,2,28,3,15,1,1,100,85,NA,NA,50,50,4,4,4,1,1
